accuracy,filter_size,leaky_relu,learning_rate,n_filters,p_dropout,search_type,stride,weight_decay
0.4615,1.0,1.0,0.0001,64.0,0.25,grid,1.0,1e-05
0.4607,1.0,1.0,0.0001,64.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,0.0001,64.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,0.0001,64.0,0.25,grid,3.0,0.001
0.4605,1.0,1.0,0.0001,64.0,0.0,grid,1.0,1e-05
0.4602,1.0,1.0,0.0001,64.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,0.0001,64.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,0.0001,64.0,0.0,grid,3.0,0.001
0.466,1.0,1.0,0.0001,128.0,0.5,grid,1.0,1e-05
0.4664,1.0,1.0,0.0001,128.0,0.5,grid,1.0,0.001
0.1,1.0,1.0,0.0001,128.0,0.5,grid,3.0,1e-05
0.1,1.0,1.0,0.0001,128.0,0.5,grid,3.0,0.001
0.4675,1.0,1.0,0.0001,128.0,0.25,grid,1.0,1e-05
0.4672,1.0,1.0,0.0001,128.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,0.0001,128.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,0.0001,128.0,0.25,grid,3.0,0.001
0.4672,1.0,1.0,0.0001,128.0,0.0,grid,1.0,1e-05
0.4675,1.0,1.0,0.0001,128.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,0.0001,128.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,0.0001,128.0,0.0,grid,3.0,0.001
0.1623,1.0,1.0,0.1,16.0,0.5,grid,1.0,1e-05
0.1337,1.0,1.0,0.1,16.0,0.5,grid,1.0,0.001
0.1,1.0,1.0,0.1,16.0,0.5,grid,3.0,1e-05
0.1,1.0,1.0,0.1,16.0,0.5,grid,3.0,0.001
0.211,1.0,1.0,0.1,16.0,0.25,grid,1.0,1e-05
0.1606,1.0,1.0,0.1,16.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,0.1,16.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,0.1,16.0,0.25,grid,3.0,0.001
0.1898,1.0,1.0,0.1,16.0,0.0,grid,1.0,1e-05
0.1223,1.0,1.0,0.1,16.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,0.1,16.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,0.1,16.0,0.0,grid,3.0,0.001
0.1,1.0,1.0,0.1,64.0,0.5,grid,1.0,1e-05
0.1,1.0,1.0,0.1,64.0,0.5,grid,1.0,0.001
0.1,1.0,1.0,0.1,64.0,0.5,grid,3.0,1e-05
0.1,1.0,1.0,0.1,64.0,0.5,grid,3.0,0.001
0.2042,1.0,1.0,0.1,64.0,0.25,grid,1.0,1e-05
0.2204,1.0,1.0,0.1,64.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,0.1,64.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,0.1,64.0,0.25,grid,3.0,0.001
0.162,1.0,1.0,0.1,64.0,0.0,grid,1.0,1e-05
0.1763,1.0,1.0,0.1,64.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,0.1,64.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,0.1,64.0,0.0,grid,3.0,0.001
0.214,1.0,1.0,0.1,128.0,0.5,grid,1.0,1e-05
0.2012,1.0,1.0,0.1,128.0,0.5,grid,1.0,0.001
0.1,1.0,1.0,0.1,128.0,0.5,grid,3.0,1e-05
0.1,1.0,1.0,0.1,128.0,0.5,grid,3.0,0.001
0.1829,1.0,1.0,0.1,128.0,0.25,grid,1.0,1e-05
0.2376,1.0,1.0,0.1,128.0,0.25,grid,1.0,0.001
0.1,1.0,1.0,0.1,128.0,0.25,grid,3.0,1e-05
0.1,1.0,1.0,0.1,128.0,0.25,grid,3.0,0.001
0.1841,1.0,1.0,0.1,128.0,0.0,grid,1.0,1e-05
0.1594,1.0,1.0,0.1,128.0,0.0,grid,1.0,0.001
0.1,1.0,1.0,0.1,128.0,0.0,grid,3.0,1e-05
0.1,1.0,1.0,0.1,128.0,0.0,grid,3.0,0.001
0.3236,3.0,0.0,1e-05,16.0,0.5,grid,1.0,1e-05
0.3236,3.0,0.0,1e-05,16.0,0.5,grid,1.0,0.001
0.1,3.0,0.0,1e-05,16.0,0.5,grid,3.0,1e-05
0.1,3.0,0.0,1e-05,16.0,0.5,grid,3.0,0.001
0.3279,3.0,0.0,1e-05,16.0,0.25,grid,1.0,1e-05
0.3279,3.0,0.0,1e-05,16.0,0.25,grid,1.0,0.001
0.1185,3.0,0.0,1e-05,16.0,0.25,grid,3.0,1e-05
0.1185,3.0,0.0,1e-05,16.0,0.25,grid,3.0,0.001
0.3311,3.0,0.0,1e-05,16.0,0.0,grid,1.0,1e-05
0.3311,3.0,0.0,1e-05,16.0,0.0,grid,1.0,0.001
0.1317,3.0,0.0,1e-05,16.0,0.0,grid,3.0,1e-05
0.1317,3.0,0.0,1e-05,16.0,0.0,grid,3.0,0.001
0.3819,3.0,0.0,1e-05,64.0,0.5,grid,1.0,1e-05
0.3819,3.0,0.0,1e-05,64.0,0.5,grid,1.0,0.001
0.2444,3.0,0.0,1e-05,64.0,0.5,grid,3.0,1e-05
0.2444,3.0,0.0,1e-05,64.0,0.5,grid,3.0,0.001
0.3845,3.0,0.0,1e-05,64.0,0.25,grid,1.0,1e-05
0.3845,3.0,0.0,1e-05,64.0,0.25,grid,1.0,0.001
0.2477,3.0,0.0,1e-05,64.0,0.25,grid,3.0,1e-05
0.2477,3.0,0.0,1e-05,64.0,0.25,grid,3.0,0.001
0.3865,3.0,0.0,1e-05,64.0,0.0,grid,1.0,1e-05
0.3865,3.0,0.0,1e-05,64.0,0.0,grid,1.0,0.001
0.2496,3.0,0.0,1e-05,64.0,0.0,grid,3.0,1e-05
0.2496,3.0,0.0,1e-05,64.0,0.0,grid,3.0,0.001
0.4118,3.0,0.0,1e-05,128.0,0.5,grid,1.0,1e-05
0.4118,3.0,0.0,1e-05,128.0,0.5,grid,1.0,0.001
0.2643,3.0,0.0,1e-05,128.0,0.5,grid,3.0,1e-05
0.2643,3.0,0.0,1e-05,128.0,0.5,grid,3.0,0.001
0.4137,3.0,0.0,1e-05,128.0,0.25,grid,1.0,1e-05
0.4137,3.0,0.0,1e-05,128.0,0.25,grid,1.0,0.001
0.2674,3.0,0.0,1e-05,128.0,0.25,grid,3.0,1e-05
0.2674,3.0,0.0,1e-05,128.0,0.25,grid,3.0,0.001
0.4159,3.0,0.0,1e-05,128.0,0.0,grid,1.0,1e-05
0.4159,3.0,0.0,1e-05,128.0,0.0,grid,1.0,0.001
0.2713,3.0,0.0,1e-05,128.0,0.0,grid,3.0,1e-05
0.2713,3.0,0.0,1e-05,128.0,0.0,grid,3.0,0.001
0.4075,3.0,0.0,0.0001,16.0,0.5,grid,1.0,1e-05
0.409,3.0,0.0,0.0001,16.0,0.5,grid,1.0,0.001
0.2461,3.0,0.0,0.0001,16.0,0.5,grid,3.0,1e-05
0.2457,3.0,0.0,0.0001,16.0,0.5,grid,3.0,0.001
0.4161,3.0,0.0,0.0001,16.0,0.25,grid,1.0,1e-05
0.4157,3.0,0.0,0.0001,16.0,0.25,grid,1.0,0.001
0.2628,3.0,0.0,0.0001,16.0,0.25,grid,3.0,1e-05
0.2628,3.0,0.0,0.0001,16.0,0.25,grid,3.0,0.001
0.4191,3.0,0.0,0.0001,16.0,0.0,grid,1.0,1e-05
0.4183,3.0,0.0,0.0001,16.0,0.0,grid,1.0,0.001
0.2729,3.0,0.0,0.0001,16.0,0.0,grid,3.0,1e-05
0.272,3.0,0.0,0.0001,16.0,0.0,grid,3.0,0.001
0.4779,3.0,0.0,0.0001,64.0,0.5,grid,1.0,1e-05
0.4768,3.0,0.0,0.0001,64.0,0.5,grid,1.0,0.001
0.3563,3.0,0.0,0.0001,64.0,0.5,grid,3.0,1e-05
0.3554,3.0,0.0,0.0001,64.0,0.5,grid,3.0,0.001
0.485,3.0,0.0,0.0001,64.0,0.25,grid,1.0,1e-05
0.4857,3.0,0.0,0.0001,64.0,0.25,grid,1.0,0.001
0.3576,3.0,0.0,0.0001,64.0,0.25,grid,3.0,1e-05
0.3564,3.0,0.0,0.0001,64.0,0.25,grid,3.0,0.001
0.4878,3.0,0.0,0.0001,64.0,0.0,grid,1.0,1e-05
0.487,3.0,0.0,0.0001,64.0,0.0,grid,1.0,0.001
0.3658,3.0,0.0,0.0001,64.0,0.0,grid,3.0,1e-05
0.3655,3.0,0.0,0.0001,64.0,0.0,grid,3.0,0.001
0.5042,3.0,0.0,0.0001,128.0,0.5,grid,1.0,1e-05
0.5032,3.0,0.0,0.0001,128.0,0.5,grid,1.0,0.001
0.4039,3.0,0.0,0.0001,128.0,0.5,grid,3.0,1e-05
0.4039,3.0,0.0,0.0001,128.0,0.5,grid,3.0,0.001
0.5013,3.0,0.0,0.0001,128.0,0.25,grid,1.0,1e-05
0.5035,3.0,0.0,0.0001,128.0,0.25,grid,1.0,0.001
0.4069,3.0,0.0,0.0001,128.0,0.25,grid,3.0,1e-05
0.4066,3.0,0.0,0.0001,128.0,0.25,grid,3.0,0.001
0.508,3.0,0.0,0.0001,128.0,0.0,grid,1.0,1e-05
0.507,3.0,0.0,0.0001,128.0,0.0,grid,1.0,0.001
0.4088,3.0,0.0,0.0001,128.0,0.0,grid,3.0,1e-05
0.41,3.0,0.0,0.0001,128.0,0.0,grid,3.0,0.001
0.1,3.0,0.0,0.1,16.0,0.5,grid,1.0,1e-05
0.1,3.0,0.0,0.1,16.0,0.5,grid,1.0,0.001
0.1,3.0,0.0,0.1,16.0,0.5,grid,3.0,1e-05
0.1,3.0,0.0,0.1,16.0,0.5,grid,3.0,0.001
0.1,3.0,0.0,0.1,16.0,0.25,grid,1.0,1e-05
0.1,3.0,0.0,0.1,16.0,0.25,grid,1.0,0.001
0.1,3.0,0.0,0.1,16.0,0.25,grid,3.0,1e-05
0.1,3.0,0.0,0.1,16.0,0.25,grid,3.0,0.001
0.1,3.0,0.0,0.1,16.0,0.0,grid,1.0,1e-05
0.1,3.0,0.0,0.1,16.0,0.0,grid,1.0,0.001
0.1,3.0,0.0,0.1,16.0,0.0,grid,3.0,1e-05
0.1,3.0,0.0,0.1,16.0,0.0,grid,3.0,0.001
0.1,3.0,0.0,0.1,64.0,0.5,grid,1.0,1e-05
0.1,3.0,0.0,0.1,64.0,0.5,grid,1.0,0.001
0.1,3.0,0.0,0.1,64.0,0.5,grid,3.0,1e-05
0.1,3.0,0.0,0.1,64.0,0.5,grid,3.0,0.001
0.1,3.0,0.0,0.1,64.0,0.25,grid,1.0,1e-05
0.1,3.0,0.0,0.1,64.0,0.25,grid,1.0,0.001
0.1,3.0,0.0,0.1,64.0,0.25,grid,3.0,1e-05
0.1,3.0,0.0,0.1,64.0,0.25,grid,3.0,0.001
0.1,3.0,0.0,0.1,64.0,0.0,grid,1.0,1e-05
0.1,3.0,0.0,0.1,64.0,0.0,grid,1.0,0.001
0.1,3.0,0.0,0.1,64.0,0.0,grid,3.0,1e-05
0.1,3.0,0.0,0.1,64.0,0.0,grid,3.0,0.001
0.1,3.0,0.0,0.1,128.0,0.5,grid,1.0,1e-05
0.1,3.0,0.0,0.1,128.0,0.5,grid,1.0,0.001
0.1,3.0,0.0,0.1,128.0,0.5,grid,3.0,1e-05
0.1,3.0,0.0,0.1,128.0,0.5,grid,3.0,0.001
0.1,3.0,0.0,0.1,128.0,0.25,grid,1.0,1e-05
0.1,3.0,0.0,0.1,128.0,0.25,grid,1.0,0.001
0.1,3.0,0.0,0.1,128.0,0.25,grid,3.0,1e-05
0.1,3.0,0.0,0.1,128.0,0.25,grid,3.0,0.001
0.1,3.0,0.0,0.1,128.0,0.0,grid,1.0,1e-05
0.1,3.0,0.0,0.1,128.0,0.0,grid,1.0,0.001
0.1,3.0,0.0,0.1,128.0,0.0,grid,3.0,1e-05
0.1,3.0,0.0,0.1,128.0,0.0,grid,3.0,0.001
0.3208,3.0,1.0,1e-05,16.0,0.5,grid,1.0,1e-05
0.3208,3.0,1.0,1e-05,16.0,0.5,grid,1.0,0.001
0.1013,3.0,1.0,1e-05,16.0,0.5,grid,3.0,1e-05
0.1013,3.0,1.0,1e-05,16.0,0.5,grid,3.0,0.001
