accuracy,hidden_size,leaky_relu,learning_rate,num_layers,p_dropout,search_type,weight_decay
0.4079,1000.0,1.0,0.0001,1.0,0.0,grid,0.001
0.4063,1000.0,1.0,0.0001,1.0,0.0,grid,0.01
0.2029,1000.0,1.0,0.001,3.0,0.5,grid,1e-05
0.1942,1000.0,1.0,0.001,3.0,0.5,grid,0.001
0.1809,1000.0,1.0,0.001,3.0,0.5,grid,0.01
0.4521,1000.0,1.0,0.001,3.0,0.0,grid,1e-05
0.4642,1000.0,1.0,0.001,3.0,0.0,grid,0.001
0.4641,1000.0,1.0,0.001,3.0,0.0,grid,0.01
0.2735,1000.0,1.0,0.001,2.0,0.5,grid,1e-05
0.3106,1000.0,1.0,0.001,2.0,0.5,grid,0.001
0.2538,1000.0,1.0,0.001,2.0,0.5,grid,0.01
0.4741,1000.0,1.0,0.001,2.0,0.0,grid,1e-05
0.4685,1000.0,1.0,0.001,2.0,0.0,grid,0.001
0.468,1000.0,1.0,0.001,2.0,0.0,grid,0.01
0.3143,1000.0,1.0,0.001,1.0,0.5,grid,1e-05
0.3064,1000.0,1.0,0.001,1.0,0.5,grid,0.001
0.3189,1000.0,1.0,0.001,1.0,0.5,grid,0.01
0.3754,1000.0,1.0,0.001,1.0,0.0,grid,1e-05
