accuracy,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,search_type
0.6675,1.0,2000.0,log2,1.0,20.0,150.0,grid
0.6708999999999999,1.0,2000.0,log2,1.0,20.0,300.0,grid
0.6712499999999999,1.0,2000.0,log2,1.0,20.0,500.0,grid
0.6238500000000001,1.0,2000.0,log2,50.0,2.0,50.0,grid
0.6253,1.0,2000.0,log2,50.0,2.0,150.0,grid
0.62495,1.0,2000.0,log2,50.0,2.0,300.0,grid
0.6263500000000001,1.0,2000.0,log2,50.0,2.0,500.0,grid
0.6238500000000001,1.0,2000.0,log2,50.0,20.0,50.0,grid
0.6253,1.0,2000.0,log2,50.0,20.0,150.0,grid
0.62495,1.0,2000.0,log2,50.0,20.0,300.0,grid
0.6263500000000001,1.0,2000.0,log2,50.0,20.0,500.0,grid
0.6819000000000001,0.0,25.0,sqrt,1.0,2.0,50.0,grid
0.6940999999999999,0.0,25.0,sqrt,1.0,2.0,150.0,grid
0.7001999999999999,0.0,25.0,sqrt,1.0,2.0,300.0,grid
0.7020500000000001,0.0,25.0,sqrt,1.0,2.0,500.0,grid
0.6807,0.0,25.0,sqrt,1.0,20.0,50.0,grid
0.6900000000000002,0.0,25.0,sqrt,1.0,20.0,150.0,grid
0.6909,0.0,25.0,sqrt,1.0,20.0,300.0,grid
0.6923,0.0,25.0,sqrt,1.0,20.0,500.0,grid
0.6439000000000001,0.0,25.0,sqrt,50.0,2.0,50.0,grid
0.6487,0.0,25.0,sqrt,50.0,2.0,150.0,grid
0.6484500000000001,0.0,25.0,sqrt,50.0,2.0,300.0,grid
0.6486,0.0,25.0,sqrt,50.0,2.0,500.0,grid
0.6439000000000001,0.0,25.0,sqrt,50.0,20.0,50.0,grid
0.6487,0.0,25.0,sqrt,50.0,20.0,150.0,grid
0.6484500000000001,0.0,25.0,sqrt,50.0,20.0,300.0,grid
0.6486,0.0,25.0,sqrt,50.0,20.0,500.0,grid
0.6740999999999999,0.0,25.0,log2,1.0,2.0,50.0,grid
0.6900999999999999,0.0,25.0,log2,1.0,2.0,150.0,grid
0.6917,0.0,25.0,log2,1.0,2.0,300.0,grid
